id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
690176180395759163,Condo in Winnipeg · ★5.0 · 2 bedrooms · 1 bed · 1 bath,96367686,Joshua,,Waverley West,49.80704,-97.17139,Entire home/apt,94,2,11,2023-10-28,0.70,1,80,2,
752388191612496330,Guest suite in Winnipeg · ★4.94 · 2 bedrooms · 2 beds · 1 bath,184007908,Jason,,River Heights - Fort Garry,49.83465,-97.15337,Entire home/apt,100,3,18,2023-09-11,1.33,1,348,13,
958223257096623138,Home in Winnipeg · ★4.80 · 2 bedrooms · 3 beds · 1 bath,73641054,Alsie,,Point Douglas,49.9200647,-97.19696119999999,Entire home/apt,67,1,15,2023-11-05,3.69,1,251,15,
617347952149310859,Home in Winnipeg · ★4.25 · 1 bedroom · 1 bed · 1 shared bath,338241485,Obinna,,St. Norbert - Seine River,49.78538,-97.15133,Private room,35,1,106,2023-12-03,5.42,2,359,66,
934342393361143288,Condo in Winnipeg · ★4.86 · 2 bedrooms · 2 beds · 1 bath,25502012,Berina,,River Heights - Fort Garry,49.86291812751513,-97.15751416366545,Entire home/apt,75,3,14,2023-12-15,2.86,2,164,14,
31045533,Home in Winnipeg · 2 bedrooms · 2 beds · 1.5 shared baths,120010020,Misty,,St. Boniface,49.87002,-97.08471,Private room,136,1,0,,,2,178,0,
971300092486482725,Home in Winnipeg · 3 bedrooms · 3 beds · 2 baths,118573553,Christian,,Transcona,49.8989355,-96.99267019999999,Private room,41,1,0,,,2,269,0,
704296416702408079,Home in Winnipeg · ★New · 1 bedroom · 1 bed · 1 bath,289206621,Emmanuel,,St. Vital,49.822641660562525,-97.05407397772856,Private room,56,1,0,,,3,90,0,
973375098704539469,Home in Winnipeg · 1 bedroom · 1 bed · 1 bath,535542758,Kolawol,,St. Vital,49.82476822998139,-97.05428074827161,Private room,45,1,0,,,1,269,0,
927002546738078241,Guest suite in Winnipeg · ★5.0 · 1 bedroom · 1 bed · 1 bath,265033899,Chikezie,,Elmwood - East Kildonan,49.910079125607,-97.08988003242173,Entire home/apt,59,1,5,2023-11-24,0.97,1,255,5,
1045149231614583602,Home in Winnipeg · ★New · 1 bedroom · 1 bed · 2 baths,550730079,Ighor,,St. Norbert - Seine River,49.765913119488864,-97.17237146581392,Private room,40,1,0,,,1,267,0,
34928960,Home in Winnipeg · ★5.0 · 2 bedrooms · 1 bed · 1 private bath,261799192,Wendelina,,Transcona,49.91794,-97.04452,Private room,60,1,3,2023-08-11,0.11,4,365,1,
658951172669659052,Home in Winnipeg · 1 bedroom · 1 bed · 1 shared bath,109017770,Jyoti,,Old Kildonan,49.94995,-97.17289,Private room,39,5,1,2022-10-10,0.07,1,364,0,
967562482378106976,Rental unit in Winnipeg · ★4.69 · 1 bedroom · 1 bed · 1 bath,374886746,Samuel,,Fort Rouge - East Fort Garry,49.889942182879004,-97.1396665079657,Entire home/apt,150,3,13,2023-11-19,3.86,1,198,13,
980567222549028325,Rental unit in Winnipeg · ★5.0 · 2 bedrooms · 3 beds · 1 bath,455331517,Carley,,Daniel McIntyre,49.89304391965602,-97.14548408829287,Entire home/apt,121,1,4,2023-11-06,1.41,12,256,4,
675932726185959059,Townhouse in Winnipeg · ★4.67 · 3 bedrooms · 3 beds · 2 baths,54783332,Vialux,,Waverley West,49.78131,-97.18825,Entire home/apt,161,5,6,2023-07-02,0.38,59,304,4,
53167419,Home in Winnipeg · ★4.42 · 2 bedrooms · 2 beds · 1 bath,346988041,Ekene,,Waverley West,49.77272,-97.18044,Entire home/apt,130,1,12,2023-10-22,0.60,3,363,8,
52009910,Home in Winnipeg · 1 bedroom · 1 bed · 1 private bath,421169286,Hawawu,,St. Vital,49.82495,-97.05125,Private room,68,1,0,,,1,364,0,
32780476,Condo in Winnipeg · 1 bedroom · 1 bed · 1 bath,206946214,Melanie,,Fort Rouge - East Fort Garry,49.87248,-97.1478,Entire home/apt,58,365,0,,,1,364,0,
50045534,Rental unit in Winnipeg · ★5.0 · 1 bedroom · 1 bed · 1 shared bath,145896090,Victoria,,St. Vital,49.84675,-97.11205,Private room,40,1,4,2023-08-05,0.38,2,0,4,
684825508426636446,Home in Winnipeg · 3 bedrooms · 3 beds · 2 baths,200167560,Tyler,,Fort Rouge - East Fort Garry,49.87098,-97.15564,Entire home/apt,191,30,0,,,1,350,0,
821812036969880511,Home in Winnipeg · 1 bedroom · 1 bed · 1 private bath,500047144,Oleksandra,,Transcona,49.92451,-97.04224,Private room,,2,1,2023-02-16,0.10,1,0,1,
994909359451392648,Rental unit in Winnipeg · ★New · Studio · 1.5 baths,54783332,Vialux,,Daniel McIntyre,49.879629773743254,-97.16624130231281,Entire home/apt,103,4,0,,,59,242,0,
875203669553978814,Rental unit in Winnipeg · 1 bedroom · 1 bed · 1 shared bath,120478876,Demba,,St. Vital,49.86169,-97.11108,Shared room,,1,0,,,1,89,0,
978167464078456824,Home in Winnipeg · ★4.83 · 1 bedroom · 1 bed · 1.5 baths,460811115,Jeena Rani,,Waverley West,49.8087621,-97.17746269999999,Private room,47,1,12,2023-12-15,4.04,1,268,12,
1024102513889545539,Rental unit in Winnipeg · ★New · 1 bedroom · 1 bed · 1 bath,82478537,Shiwei,,Waverley West,49.78380760373728,-97.15722106212863,Private room,32,1,0,,,2,154,0,
995190731332920229,Home in Winnipeg · 1 bedroom · 1 bed · 1 bath,459402445,Ghady,,River Heights - Fort Garry,49.86357,-97.1582,Private room,40,1,1,2023-10-28,0.59,1,269,1,
24476896,Loft in Winnipeg · ★4.94 · 1 bedroom · 1 bed · 1 bath,184891476,William Robert,,Point Douglas,49.89756,-97.13514,Entire home/apt,89,2,292,2023-12-11,4.31,1,142,69,
665314192796691758,Home in Winnipeg · ★5.0 · 3 bedrooms · 3 beds · 1 bath,352383727,Ivy,,Point Douglas,49.90226,-97.15147,Entire home/apt,147,2,17,2023-11-19,0.98,1,175,4,
48808772,Condo in Winnipeg · ★5.0 · 1 bedroom · 1 bed · 1 bath,74203278,Roam,,Point Douglas,49.89669,-97.13774,Entire home/apt,80,28,11,2022-11-16,0.33,58,54,0,
53546198,Condo in Winnipeg · ★4.33 · 2 bedrooms · 3 beds · 1 bath,413186240,Leila,,St. Norbert - Seine River,49.79381,-97.13531,Entire home/apt,69,2,6,2022-10-14,0.37,7,290,0,
35167841,Home in Winnipeg · ★4.71 · 1 bedroom · 1 bed · 1 shared bath,199538184,Olamilekan,,St. Norbert - Seine River,49.79942,-97.10567,Private room,45,5,14,2023-08-31,0.26,4,30,4,
944508697178985937,Home in Winnipeg · 1 bedroom · 1 bed · 1 bath,279143971,Raheem Olabamiji,,St. Vital,49.822858724786954,-97.06705556341332,Private room,32,1,0,,,1,269,0,
49052563,Guest suite in Winnipeg · ★5.0 · 2 bedrooms · 2 beds · 1 bath,44966488,Farah,,St. Vital,49.82818,-97.03975,Entire home/apt,62,3,6,2023-11-01,0.32,1,24,3,
43735673,Home in Winnipeg · ★4.69 · 1 bedroom · 1 bed · 1 private bath,348144031,Sheriff,,Elmwood - East Kildonan,49.91832,-97.09453,Private room,60,1,134,2023-12-16,3.17,5,355,22,
41649075,Rental unit in Winnipeg · 1 bedroom · 1 bed · 1 bath,38459934,Corporate Stays,,Charleswood - Tuxedo - Westwood,49.8446,-97.22531,Entire home/apt,120,31,0,,,19,88,0,
848174707241517383,Home in Winnipeg · 1 bedroom · 1 bed · 1 bath,293404010,Jagraj,,Transcona,49.90611,-97.0,Entire home/apt,68,28,0,,,1,365,0,
649238907216182551,Rental unit in Winnipeg · ★4.50 · 3 bedrooms · 3 beds · 2 baths,54783332,Vialux,,Daniel McIntyre,49.87987,-97.16486,Entire home/apt,138,3,8,2023-10-11,0.45,59,345,4,
706500751460402052,Condo in Winnipeg · 1 bedroom · 1 bed · 1 bath,454339347,Matthew,,Transcona,49.90147,-97.05059,Entire home/apt,126,14,0,,,1,0,0,
1009465935075134315,Home in Winnipeg · ★New · 1 bedroom · 1 bed · 1 bath,491433686,Sara,,St. Norbert - Seine River,49.79648234550725,-97.13806250444067,Private room,63,1,2,2023-10-29,1.18,6,269,2,
991369326147626234,Home in Winnipeg · ★5.0 · 1 bedroom · 2 beds · 1 bath,18167901,Cherie,,St. James,49.88562983799948,-97.30652386832688,Entire home/apt,179,1,3,2023-11-19,1.29,3,102,3,
43554040,Rental unit in Winnipeg · Studio · 1 private bath,225427538,Ranjit,,Old Kildonan,49.96696,-97.16509,Private room,50,1,0,,,1,173,0,
953654457301267934,Home in Winnipeg · 2 bedrooms · 2 beds · 1 shared bath,530692914,Simran,,Daniel McIntyre,49.89281998298856,-97.16400053962677,Private room,71,1,1,2023-09-23,0.35,17,269,1,
1044845918403599304,Condo in Winnipeg · ★New · 1 bedroom · 1 bed · 1 bath,540973948,Abdul,,Point Douglas,49.92127545969942,-97.19898294657469,Entire home/apt,50,1,0,,,1,264,0,
664356527960905551,Home in Winnipeg · 4 bedrooms · 5 beds · 3 baths,47870775,Gursimran,,St. Vital,49.82037,-97.05823,Entire home/apt,233,5,0,,,1,364,0,
44210333,Bungalow in Winnipeg · ★4.53 · 3 bedrooms · 3 beds · 2 baths,298357507,Kevin,,St. Vital,49.8291,-97.12317,Entire home/apt,139,3,36,2023-09-24,0.90,4,364,9,
960999114522416823,Home in Winnipeg · ★5.0 · 2 bedrooms · 2 beds · 1 bath,279290285,Akoko,,Transcona,49.89147684441984,-97.04193576969429,Entire home/apt,70,3,3,2023-10-26,0.83,1,171,3,
999468017403107879,Home in Winnipeg · ★5.0 · 1 bedroom · 1 bed · 1 private bath,435942684,Jessi,,Daniel McIntyre,49.889797026919474,-97.1724504190516,Private room,70,1,5,2023-12-14,2.34,3,267,5,
658768024096471856,Condo in Winnipeg · ★4.76 · 1 bedroom · 1 bed · 1 bath,41109580,Ritz,,Fort Rouge - East Fort Garry,49.87968,-97.13911,Entire home/apt,85,1,58,2023-11-19,3.39,5,350,40,
42198973,Serviced apartment in Winnipeg · 1 bedroom · 1 bed · 1 bath,38459934,Corporate Stays,,Charleswood - Tuxedo - Westwood,49.84422,-97.22745,Entire home/apt,120,31,2,2023-05-07,0.06,19,88,1,
933990064741622311,Home in Winnipeg · ★4.73 · 1 bedroom · 1 bed · 1 shared bath,26506986,Lorrainne,,St. Boniface,49.886624165936134,-97.11957584375133,Private room,51,1,10,2023-11-29,2.24,6,0,10,
53571073,Rental unit in Winnipeg · ★4.68 · 1 bedroom · 1 bed · 1 bath,178683307,Casey,,St. Boniface,49.88759,-97.11838,Entire home/apt,49,3,43,2023-11-19,1.75,4,0,21,
654608849137634303,Loft in Winnipeg · ★4.80 · 1 bedroom · 1 bed · 1 shared bath,608418,Jessica,,Point Douglas,49.89917,-97.14354,Private room,75,1,20,2023-08-05,1.22,1,0,13,
