id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
138381,Bed and breakfast in Quebec · ★4.91 · 1 bedroom · 2 beds · 1 private bath,675584,Mary,,Sillery,46.76851,-71.26804,Private room,185,31,176,2023-08-21,1.16,3,222,3,
198548,Rental unit in Quebec · ★4.76 · 1 bedroom · 2 beds · 1 bath,960772,Marianne,,Saint-Roch,46.81169,-71.22522,Entire home/apt,164,31,58,2023-11-27,0.39,1,170,5,
214967,Townhouse in Quebec · ★4.95 · 1 bedroom · 1 bed · 1 shared bath,1110010,Julie,,Vieux-Québec/Cap-Blanc/Colline parlementaire,46.80233,-71.21214,Private room,61,32,198,2023-09-30,1.44,1,223,7,
517628,Townhouse in Quebec · ★4.89 · 5 bedrooms · 5 beds · 2.5 baths,2216595,Jennifer,,Vieux-Québec/Cap-Blanc/Colline parlementaire,46.80432,-71.20559,Entire home/apt,504,3,35,2023-08-19,0.66,1,37,7,"312758, expires: 2024-04-14T00:00:00Z"
588889,Home in Ville de Québec · ★4.75 · 4 bedrooms · 5 beds · 1.5 baths,2904660,Mariane,,Lac-Saint-Charles,46.93362,-71.3785,Entire home/apt,350,7,8,2023-08-12,0.09,2,0,1,"312924, expires: 2024-04-27"
661569,Bed and breakfast in Quebec · ★4.98 · 1 bedroom · 1 bed · 1 bath,675584,Mary,,Sillery,46.76839,-71.26665,Hotel room,185,31,94,2023-08-13,0.74,3,212,4,"181101, expires: 2023-11-30"
878309,Rental unit in Quebec · ★4.60 · 2 bedrooms · 2 beds · 1 bath,4598359,Agnes,,Sillery,46.78416442871094,-71.25181579589844,Entire home/apt,75,32,30,2022-01-06,0.24,2,351,0,
878904,Rental unit in Quebec · ★4.78 · 1 bedroom · 2 beds · 1 bath,4598359,Agnes,,Sillery,46.78232955932617,-71.24954223632812,Entire home/apt,45,32,19,2022-08-31,0.15,2,171,0,
997400,Guest suite in Quebec · ★4.55 · 2 bedrooms · 2 beds · 1 bath,5480680,Adriana,,Chutes-Montmorency,46.88443,-71.17122,Entire home/apt,104,1,609,2023-11-24,4.72,1,77,59,"360108, expires: 2023-12-31"
1001559,Serviced apartment in Québec · ★4.94 · 2 bedrooms · 2 beds · 1 bath,5508181,Simon,,Montcalm,46.8045,-71.22713,Entire home/apt,277,31,35,2023-09-10,0.53,1,12,7,"302754, expires: 2024-10-31T23:00:00Z"
1014369,Rental unit in Quebec · ★4.46 · 2 bedrooms · 3 beds · 1 bath,5580354,Jennifer,,Saint-Sauveur,46.81369,-71.23596,Entire home/apt,850,31,257,2023-11-01,1.97,1,0,3,
1094871,Rental unit in Ville de Québec · ★4.86 · 1 bedroom · 1 bed · 1 bath,6015223,Dominique,,Saint-Jean-Baptiste,46.80609,-71.22402,Entire home/apt,95,31,140,2019-09-02,1.12,1,0,0,
1103650,Home in Quebec · ★4.74 · 3 bedrooms · 3 beds · 1.5 baths,6060744,Sophie,,Saint-Jean-Baptiste,46.80844,-71.22057,Entire home/apt,299,31,50,2023-11-30,0.40,1,325,13,"307933, expires: 2024-11-30"
1240632,Home in Quebec · ★4.09 · 1 bedroom · 1 bed · 1 shared bath,6212858,Katia,,Duberger-Les Saules,46.80681,-71.33501,Private room,22,31,11,2023-01-11,0.11,5,260,1,
1382367,Loft in Quebec · ★4.87 · 1 bedroom · 1 bed · 1 bath,7485023,Stephane,,Vieux-Québec/Cap-Blanc/Colline parlementaire,46.81688,-71.2077,Entire home/apt,80,31,55,2023-09-19,0.44,2,137,2,
1406193,Home in Quebec · ★4.71 · 2 bedrooms · 2 beds · 1 bath,7586751,Mylène,,Saint-Sauveur,46.81494,-71.237,Entire home/apt,43,31,73,2017-08-05,0.58,1,167,0,
1516068,Rental unit in Sillery · ★4.96 · 1 bedroom · 1 bed · 1 private bath,6137330,André,,Sillery,46.7835,-71.25891,Private room,21,32,24,2023-04-07,0.21,4,228,3,
1645445,Rental unit in Quebec · ★4.75 · 2 bedrooms · 3 beds · 1 bath,8732163,Joe,,Vieux-Québec/Cap-Blanc/Colline parlementaire,46.81373,-71.20601,Entire home/apt,196,32,115,2023-08-26,1.04,2,365,1,
1683632,Rental unit in Quebec · ★4.85 · 1 bedroom · 1 bed · 1 bath,8895388,Richard,,Saint-Roch,46.80874,-71.22899,Entire home/apt,150,31,113,2023-09-09,0.94,1,346,10,
1851589,Home in Quebec · ★4.65 · 1 bedroom · 1 bed · 1 private bath,8687028,Nicola,,Maizerets,46.83839,-71.22235,Private room,75,1,149,2023-12-03,1.27,5,323,60,"130174, expires: 2024-05-02"
1979239,Rental unit in Quebec · ★4.57 · 1 bedroom · 1 bed · 1 shared bath,10214782,Véronika,,Saint-Sauveur,46.81256,-71.23387,Private room,72,1,422,2023-12-01,3.48,2,0,32,"314655, expires: 2024-07-31T00:38:13Z"
2027990,Rental unit in Quebec · ★4.94 · 1 bedroom · 1 bed · 1 bath,3927227,Paul,,Sillery,46.79193,-71.24778,Private room,18,31,35,2023-10-02,0.29,2,181,1,
2076200,Rental unit in Quebec · ★4.89 · 1 bedroom · 2 beds · 1 bath,8732163,Joe,,Vieux-Québec/Cap-Blanc/Colline parlementaire,46.81442,-71.20598,Entire home/apt,182,32,82,2023-08-19,0.68,2,356,2,
